Região Administrativa;Região de Governo;Município;Núcleo Regional;Unidades do CEETEPS;Código da Unidade;Número da Turma; Turma;Tipo de Ensino;Eixo Tecnológico/Educação Básica;Área Profissional;Habilitação/Curso;Período;Sexo Feminino;Sexo Masculino;Total de Alunos; Médio na ETEC;Médio em outra ETEC;Médio fora do CPS;Médio Concluído;Aprovados;Promoção Parcial;Retidos por Frequência;Retidos por Rendimento; Retidos por Frequencia e Rendimento; Retenção Parcial;Desistências;Transferências Expedidas;Transferências Recebidas;Trancamentos
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.230;2º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;24;12;36;0;0;15;21;32;0;0;0;0;0;2;0;0;2
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.255;2º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;27;8;35;0;0;21;14;29;0;0;0;0;0;5;0;0;1
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Alice Marques da Silva Rocha);028.01 - Ext/Etec;235.518.321;3º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;13;10;23;0;0;12;11;22;0;0;0;1;0;0;0;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;234.491.462;1ª Série;Integrado;Gestão e Negócios;Gestão;Administração (Etim);Integral;31;9;40;0;0;0;0;40;0;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;234.491.538;3ª Série;Integrado;Gestão e Negócios;Gestão;Administração (Etim);Integral;20;7;27;0;0;0;0;27;0;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Andradina;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Doutor Alvaro Guião);028.05 - Ext/Etec;234.491.496;2ª Série;Integrado;Informação e Comunicação;Informática;Informática (Etim);Integral;10;19;29;0;0;0;0;24;0;0;0;0;0;0;5;0;0
Araçatuba;Andradina;Castilho;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (Castilho);028.2 - Cd_Cps;235.553.252;1º Módulo;Técnico;Turismo, Hospitalidade e Lazer;Turismo e Hospitalidade;Turismo Receptivo;Noite;26;9;35;0;0;19;16;26;0;0;0;1;0;8;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.443.885;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;23;17;40;0;0;0;0;40;0;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.443.448;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;18;22;40;0;0;0;0;26;12;0;1;1;0;0;1;1;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.443.679;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;24;16;40;0;0;0;0;34;6;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.483.682;2º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;6;30;36;8;0;9;19;21;0;0;0;3;0;5;0;0;7
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.483.740;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Tarde;2;30;32;2;0;7;23;23;3;0;0;0;0;1;4;0;1
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.483.773;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;2;34;36;1;0;7;28;30;1;1;0;2;0;4;0;4;2
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.483.872;3º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Noite;3;32;35;1;0;8;26;26;4;0;0;0;0;3;0;0;2
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.387.206;1º Módulo;Técnico;Controle e Processos Industriais;Indústria;Eletrotécnica;Tarde;9;31;40;0;0;9;31;31;0;2;0;1;0;6;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.003;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;36;4;40;0;0;4;36;34;0;1;0;0;0;5;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.037;3º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;31;1;32;0;0;0;32;30;1;0;0;0;0;0;0;0;1
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.086;4º Módulo;Técnico;Ambiente e Saúde;Saúde;Enfermagem;Noite;25;6;31;0;0;4;27;31;0;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.110;1º Módulo;Técnico;Turismo, Hospitalidade e Lazer;Turismo e Hospitalidade;Eventos;Noite;31;9;40;4;0;12;24;26;0;1;0;0;0;13;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.177;3º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;0;38;38;1;0;7;30;33;0;0;0;0;0;1;0;0;4
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.151;2º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Tarde;3;31;34;3;0;5;26;28;3;1;0;0;0;1;0;0;1
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.219;4º Módulo;Técnico;Controle e Processos Industriais;Indústria;Mecânica;Noite;2;26;28;4;0;6;18;27;0;0;0;0;0;0;0;0;1
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.334;2º Módulo;Técnico;Ambiente e Saúde;Meio Ambiente;Meio Ambiente;Noite;24;15;39;1;0;9;29;28;4;0;0;0;0;4;0;0;3
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;235.484.342;2º Módulo;Técnico;Segurança;Saúde;Segurança do Trabalho;Noite;19;16;35;0;0;6;29;32;0;2;0;0;0;1;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.444.222;1ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas (Etim);Integral;15;25;40;0;0;0;0;20;13;0;3;2;0;0;1;0;1
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.782.654;2ª Série;Integrado;Gestão e Negócios;Gestão;Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec (Novotec);Manhã;25;6;31;0;0;0;0;23;5;0;1;2;0;0;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.444.529;3ª Série;Integrado;Informação e Comunicação;Informática;Informática (Etim);Integral;17;17;34;0;0;0;0;33;0;0;0;0;0;0;1;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira;065;234.444.354;2ª Série;Integrado;Informação e Comunicação;Informática;Informática (Etim);Integral;14;18;32;0;0;0;0;20;8;0;3;0;0;0;1;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;235.484.359;2º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;24;13;37;2;0;9;26;32;0;1;0;0;0;1;0;0;3
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;235.484.367;1º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;25;15;40;1;0;5;34;30;1;0;0;3;0;6;0;0;0
Araçatuba;Andradina;Ilha Solteira;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (EE Urubupungá);065.02 - Ext/Etec;235.484.375;3º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;21;10;31;2;0;12;17;27;0;2;0;0;0;0;0;0;2
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;235.518.404;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;11;6;17;0;0;10;7;16;0;0;0;0;0;1;0;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;235.518.370;2º Módulo;Técnico;Informação e Comunicação;Informática;Informática para Internet;Noite;15;18;33;8;0;16;9;23;0;0;0;0;0;10;0;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;235.518.388;2º Módulo;Técnico;Desenvolvimento Educacional e Social;Lazer e Desenvolvimento Social;Orientação Comunitária ;Noite;24;16;40;0;0;10;30;35;0;0;0;0;0;5;0;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;235.518.362;1º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;27;13;40;0;0;16;24;37;0;0;0;0;0;3;0;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;235.518.420;3º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;11;13;24;2;0;9;13;23;0;0;0;0;0;1;0;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;234.491.017;1ª Série;Integrado;Informação e Comunicação;Informática;Desenvolvimento de Sistemas (Etim);Integral;22;18;40;0;0;0;0;37;0;0;0;0;0;0;3;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;234.491.181;2ª Série;Integrado;Informação e Comunicação;Informática;Informática (Etim);Integral;17;20;37;0;0;0;0;37;0;0;0;0;0;0;0;0;0
Araçatuba;Andradina;Mirandópolis;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (EE Dona Noemia Dias Perotti);028.02 - Ext/Etec;234.491.355;3ª Série;Integrado;Informação e Comunicação;Informática;Informática (Etim);Integral;11;13;24;0;0;0;0;21;0;0;0;0;0;0;3;0;0
Araçatuba;Andradina;Nova Independência;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Sebastiana Augusta de Moraes (Nova Independência);028.4 - Cd_Cps;235.553.146;1º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;29;11;40;0;0;10;30;30;0;0;0;2;0;8;0;0;0
Araçatuba;Andradina;Pereira Barreto;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;235.484.870;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;15;12;27;0;0;4;23;26;0;0;0;0;0;0;0;0;1
Araçatuba;Andradina;Pereira Barreto;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;235.484.912;1º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;30;10;40;1;0;3;36;32;0;1;0;0;0;7;0;0;0
Araçatuba;Andradina;Pereira Barreto;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (EE Cel. Francisco Schmidt);065.01 - Ext/Etec;235.484.953;2º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;28;10;38;1;0;12;25;28;0;0;0;0;0;4;0;0;6
Araçatuba;Andradina;Sud Mennucci;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Ilha Solteira (Sud Mennucci);065.2 - Cd_Cps;235.485.018;3º Módulo;Técnico;Turismo, Hospitalidade e Lazer;Turismo e Hospitalidade;Turismo Receptivo;Noite;16;3;19;0;0;1;18;17;0;0;0;0;0;2;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;234.294.429;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;18;22;40;0;0;0;0;38;2;0;0;0;0;0;1;1;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;234.294.551;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;17;23;40;0;0;0;0;36;4;0;0;0;0;0;1;1;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;234.294.775;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;21;19;40;0;0;0;0;39;0;0;1;0;0;0;3;3;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;234.294.387;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;17;23;40;0;0;0;0;35;5;0;0;0;0;0;1;1;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;234.294.601;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;19;21;40;0;0;0;0;39;1;0;0;0;0;0;4;4;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;234.294.700;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;26;14;40;0;0;0;0;39;0;0;1;0;0;0;1;1;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.364;2º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Tarde;5;23;28;9;0;13;6;26;0;0;0;0;0;0;0;0;2
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.372;2º Módulo;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;28;6;34;1;0;14;19;31;0;0;0;0;0;1;0;0;2
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.356;1º Módulo;Técnico;Ambiente e Saúde;Saúde;Farmácia;Noite;25;15;40;0;0;17;23;35;0;0;0;0;0;4;0;0;1
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.414;3º Módulo;Técnico;Ambiente e Saúde;Saúde;Farmácia;Tarde;22;5;27;3;0;11;13;24;0;0;0;0;0;1;0;0;2
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.380;2º Módulo;Técnico;Informação e Comunicação;Informática;Manutenção e Suporte em Informática;Noite;4;27;31;4;0;14;13;29;0;0;0;0;0;0;0;0;2
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.398;2º Módulo;Técnico;Produção Industrial;Química;Química;Noite;24;12;36;5;0;15;16;29;1;1;0;1;0;2;0;0;2
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba;165;235.541.570;4º Módulo;Técnico;Produção Industrial;Química;Química;Noite;17;8;25;13;0;1;11;24;0;0;0;0;0;0;0;0;1
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;235.542.495;2º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;24;15;39;1;0;9;29;30;1;0;0;0;0;8;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;235.542.487;3º Módulo;Técnico;Informação e Comunicação;Informática;Desenvolvimento de Sistemas;Noite;1;19;20;0;0;9;11;18;0;0;0;0;0;2;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;235.542.578;1º Módulo;Técnico;Gestão e Negócios;Gestão;Logística;Noite;21;17;38;0;0;11;27;25;0;1;0;0;0;12;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;235.542.503;2º Módulo;Técnico;Gestão e Negócios;Comércio;Marketing;Noite;11;16;27;0;0;7;20;18;0;0;0;0;0;9;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Manoel Bento da Cruz);165.01 - Ext/Etec;235.542.594;1º Módulo;Técnico;Informação e Comunicação;Informática;Programação de Jogos Digitais ;Noite;5;34;39;0;0;15;24;19;0;0;0;0;0;20;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Prof. Vitor Antonio Trindade);165.02 - Ext/Etec;235.541.687;1º Módulo;Técnico;Gestão e Negócios;Gestão;Contabilidade;Noite;27;13;40;0;0;3;37;35;0;0;0;0;0;5;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Prof. Vitor Antonio Trindade);165.02 - Ext/Etec;235.541.711;3º Módulo;Técnico;Gestão e Negócios;Gestão;Finanças;Noite;10;7;17;0;0;4;13;15;0;0;0;0;0;2;0;0;0
Araçatuba;Araçatuba;Araçatuba;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (EE Prof. Vitor Antonio Trindade);165.02 - Ext/Etec;235.541.695;2º Módulo;Técnico;Gestão e Negócios;Gestão;Recursos Humanos;Noite;27;3;30;1;0;5;24;19;2;0;0;0;0;5;0;0;4
Araçatuba;Araçatuba;Auriflama;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec de Araçatuba (Auriflama);165.2 - Cd_Cps;235.542.347;3º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;11;9;20;0;0;9;11;18;0;0;0;0;0;2;0;0;0
Araçatuba;Araçatuba;Avanhandava;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec João Jorge Geraissate (Avanhandava);069.3 - Cd_Cps;235.488.434;2º Módulo;Técnico;Gestão e Negócios;Gestão;Serviços Jurídicos;Noite;24;3;27;0;0;1;26;22;0;2;0;0;0;3;0;0;0
Araçatuba;Araçatuba;Birigui;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;234.542.843;1ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;21;17;38;0;0;0;0;38;0;0;0;0;0;0;0;0;0
Araçatuba;Araçatuba;Birigui;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;234.542.934;3ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;24;15;39;0;0;0;0;39;0;0;0;0;0;0;0;0;0
Araçatuba;Araçatuba;Birigui;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;234.542.884;2ª Série;Médio;Educação Básica;Educação Básica - Ensino Médio;Ensino Médio;Manhã;22;18;40;0;0;0;0;40;0;0;0;0;0;0;0;0;0
Araçatuba;Araçatuba;Birigui;Supervisão Pedagógica Regional - Bauru/Araçatuba;Etec Doutor Renato Cordeiro;123;235.499.175;1º Módulo;Técnico;Gestão e Negócios;Gestão;Administração;Noite;25;14;39;0;0;6;33;36;1;0;0;0;0;2;0;0;0
